Restaurant,Store Rating,Section,Item Name,Price,Rating %,Rating Count,Promo Tag
McDonald's,4.5,Featured Items,10 pc. Chicken McNuggets®,$7.59,NA,NA,"Buy 1, get 1 free"
McDonald's,4.5,Featured Items,20 pc. Chicken McNuggets®,$9.29,NA,NA,"Buy 1, get 1 free"
McDonald's,4.5,Extra Value Meals,2 Cheeseburger Meal,$13.99,84%,184,
McDonald's,4.5,Extra Value Meals,Quarter Pounder® with Cheese Meal,$13.49,93%,80,
McDonald's,4.5,Extra Value Meals,Filet-O-Fish® Meal,$12.69,100%,30,
McDonald's,4.5,Extra Value Meals,10 pc. Chicken McNuggets® Meal,$12.69,NA,NA,
McDonald's,4.5,Extra Value Meals,Double Quarter Pounder® with Cheese Meal,$16.19,NA,NA,
McDonald's,4.5,Extra Value Meals,Deluxe McCrispy™ Meal,$13.99,NA,NA,
McDonald's,4.5,Extra Value Meals,Double Filet-O-Fish® Meal,$14.99,NA,NA,
McDonald's,4.5,Extra Value Meals,Deluxe Spicy McCrispy™ Meal,$14.09,NA,NA,
McDonald's,4.5,Extra Value Meals,Bacon Quarter Pounder® with Cheese Meal,$15.39,NA,NA,
McDonald's,4.5,Extra Value Meals,Double Bacon Quarter Pounder® with Cheese Meal,$19.09,NA,NA,
McDonald's,4.5,Extra Value Meals,Quarter Pounder® with Cheese Deluxe Meal,$15.19,NA,NA,
McDonald's,4.5,Extra Value Meals,Double Quarter Pounder® with Cheese Deluxe Meal,$17.69,NA,NA,
McDonald's,4.5,Extra Value Meals,McCrispy™ Meal,$12.49,NA,NA,
McDonald's,4.5,Extra Value Meals,Spicy McCrispy™ Meal,$12.49,NA,NA,
McDonald's,4.5,Extra Value Meals,6 pc. Chicken McNuggets® Meal,$11.99,NA,NA,
McDonald's,4.5,Extra Value Meals,2 Ranch Snack Wrap® Meal,$13.59,NA,NA,
McDonald's,4.5,Extra Value Meals,2 Spicy Snack Wrap® Meal,$13.59,NA,NA,
McDonald's,4.5,Extra Value Meals,2 Mix & Match Snack Wrap® Meal,$13.59,NA,NA,
McDonald's,4.5,Extra Value Meals,4 Piece McCrispy™ Strips Meal,$15.49,NA,NA,
McDonald's,4.5,Extra Value Meals,3 Piece McCrispy™ Strips Meal,$14.19,NA,NA,
McDonald's,4.5,Extra Value Meals,Big Mac® Meal,$13.59,NA,NA,
McDonald's,4.5,Burgers,2 Cheeseburger Meal,$13.99,84%,184,
McDonald's,4.5,Burgers,Quarter Pounder® with Cheese Meal,$13.49,93%,80,
McDonald's,4.5,Burgers,Big Mac®,$8.69,NA,NA,
McDonald's,4.5,Burgers,Double Quarter Pounder® with Cheese Meal,$16.19,NA,NA,
McDonald's,4.5,Burgers,Bacon Quarter Pounder® with Cheese Meal,$15.39,NA,NA,
McDonald's,4.5,Burgers,Double Bacon Quarter Pounder® with Cheese Meal,$19.09,NA,NA,
McDonald's,4.5,Burgers,Quarter Pounder® with Cheese Deluxe Meal,$15.19,NA,NA,
McDonald's,4.5,Burgers,Double Quarter Pounder® with Cheese Deluxe Meal,$17.69,NA,NA,
McDonald's,4.5,Burgers,Big Mac® Meal,$13.59,NA,NA,
McDonald's,4.5,Burgers,Double Cheeseburger,$5.79,NA,NA,
McDonald's,4.5,Burgers,McDouble®,$5.39,NA,NA,
McDonald's,4.5,Burgers,Quarter Pounder® with Cheese,$8.89,NA,NA,
McDonald's,4.5,Burgers,Double Quarter Pounder® with Cheese,$11.29,NA,NA,
McDonald's,4.5,Burgers,Triple Cheeseburger,$7.19,NA,NA,
McDonald's,4.5,Burgers,Cheeseburger,$4.49,NA,NA,
McDonald's,4.5,Burgers,Hamburger,$4.19,NA,NA,
McDonald's,4.5,Burgers,Bacon McDouble®,$6.29,NA,NA,
McDonald's,4.5,Burgers,Bacon Quarter Pounder® with Cheese,$11.19,NA,NA,
McDonald's,4.5,Burgers,Quarter Pounder® with Cheese Deluxe,$10.59,NA,NA,
McDonald's,4.5,Burgers,Double Quarter Pounder® with Cheese Deluxe,$12.49,NA,NA,
McDonald's,4.5,Burgers,Double Bacon Quarter Pounder® with Cheese,$13.79,NA,NA,
McDonald's,4.5,Burgers,Daily Double®,$5.79,NA,NA,
McDonald's,4.5,Burgers,Classic Cheeseburger Pack,$28.29,NA,NA,
McDonald's,4.5,Burgers,Classic Big Mac® Pack,$36.29,NA,NA,
McDonald's,4.5,Burgers,Classic Quarter Pounder® with Cheese Pack,$36.29,NA,NA,
McDonald's,4.5,Burgers,Burger Pack,$46.99,NA,NA,
McDonald's,4.5,Chicken,10 pc. Chicken McNuggets®,$7.59,NA,NA,"Buy 1, get 1 free"
McDonald's,4.5,Chicken,20 pc. Chicken McNuggets®,$9.29,NA,NA,"Buy 1, get 1 free"
McDonald's,4.5,Chicken,Hot 'N Spicy McChicken®,$5.19,92%,50,
McDonald's,4.5,Chicken,McChicken®,$4.49,88%,169,
McDonald's,4.5,Chicken,10 pc. Chicken McNuggets® 2 for,$7.59,NA,NA,
McDonald's,4.5,Chicken,20 pc. Chicken McNuggets® 2 for,$9.29,NA,NA,
McDonald's,4.5,Chicken,10 pc. Chicken McNuggets® Meal,$12.69,NA,NA,
McDonald's,4.5,Chicken,Deluxe McCrispy™ Meal,$13.99,NA,NA,
McDonald's,4.5,Chicken,Deluxe Spicy McCrispy™ Meal,$14.09,NA,NA,
McDonald's,4.5,Chicken,McCrispy™ Meal,$12.49,NA,NA,
McDonald's,4.5,Chicken,Spicy McCrispy™ Meal,$12.49,NA,NA,
McDonald's,4.5,Chicken,6 pc. Chicken McNuggets® Meal,$11.99,NA,NA,
McDonald's,4.5,Chicken,2 Ranch Snack Wrap® Meal,$13.59,NA,NA,
McDonald's,4.5,Chicken,2 Spicy Snack Wrap® Meal,$13.59,NA,NA,
McDonald's,4.5,Chicken,2 Mix & Match Snack Wrap® Meal,$13.59,NA,NA,
McDonald's,4.5,Chicken,4 Piece McCrispy™ Strips Meal,$15.49,NA,NA,
McDonald's,4.5,Chicken,3 Piece McCrispy™ Strips Meal,$14.19,NA,NA,
